Date,NVDA,BTC,ETC,TSLA,AMZN
10/7/2020,558.559998,11323.4668,345.554657,425.299988,3195.689941
10/8/2020,553.549988,11759.59277,385.199707,425.920013,3190.550049
10/9/2020,550.51001,11053.61426,370.671722,434,3286.649902
10/12/2020,569.039978,11246.34863,386.295166,442.299988,3442.929932
10/13/2020,569.929993,11205.89258,389.875488,446.649994,3443.629883
10/14/2020,563.809998,11747.02246,401.590576,461.299988,3363.709961
10/15/2020,558.799988,11779.77344,394.961945,448.880005,3338.649902
10/16/2020,552.460022,11601.47266,379.512848,439.670013,3272.709961
10/19/2020,539.909973,11754.0459,393.987366,430.829987,3207.209961
10/20/2020,545.820007,11675.73926,391.120453,421.940002,3217.01001
10/21/2020,540.98999,11878.11133,395.887573,422.640015,3184.939941
10/22/2020,534.440002,11410.52539,380.384064,425.790009,3176.399902
10/23/2020,543.609985,11584.93457,391.02417,420.630005,3204.399902
10/26/2020,525.650024,11784.1377,428.741791,420.279999,3207.040039
10/27/2020,535.869995,11768.87109,437.397827,424.679993,3286.330078
10/28/2020,505.079987,11865.69824,433.354919,406.019989,3162.780029
10/29/2020,520.960022,11892.80371,433.786621,410.829987,3211.01001
10/30/2020,501.359985,12254.40234,429.53125,388.040009,3036.149902
11/2/2020,503.230011,11991.2334,423.669312,400.51001,3004.47998
11/3/2020,520.780029,11758.2832,406.463776,423.899994,3048.409912
11/4/2020,551.77002,11878.37207,416.439789,420.980011,3241.159912
11/5/2020,566.400024,11592.48926,389.126343,438.089996,3322
11/6/2020,582.47998,11681.8252,395.835144,429.950012,3311.370117
11/9/2020,545.22998,11664.84766,391.384491,421.26001,3143.73999
11/10/2020,510.799988,11774.5957,408.144196,410.359985,3035.02002
11/11/2020,536.719971,11366.13477,384.001038,417.130005,3137.389893
11/12/2020,538.27002,11488.36328,386.466125,411.76001,3110.280029
11/13/2020,531.880005,11323.39746,382.632629,408.5,3128.810059
11/16/2020,540.609985,11542.5,395.874664,408.089996,3131.060059
11/17/2020,536.890015,11506.86523,399.921478,441.609985,3135.659912
11/18/2020,537.150024,11711.50586,428.395721,486.640015,3105.459961
11/19/2020,537.609985,11680.82031,435.079742,499.269989,3117.02002
11/20/2020,523.51001,11970.47852,477.05191,489.609985,3099.399902
11/23/2020,525.599976,11414.03418,440.040497,521.849976,3098.389893
11/24/2020,518.309998,10245.29688,385.671936,555.380005,3118.060059
11/25/2020,529.390015,10511.81348,388.24115,574,3185.070068
11/27/2020,530.450012,10169.56738,335.260071,585.76001,3195.340088
11/30/2020,536.059998,10280.35156,353.362274,567.599976,3168.040039
12/1/2020,535.599976,10369.56348,352.673492,584.76001,3220.080078
12/2/2020,541.780029,10131.5166,337.602112,568.820007,3203.530029
12/3/2020,535.840027,10242.34766,351.110016,593.380005,3186.72998
12/4/2020,542.330017,10363.13867,368.101898,599.039978,3162.580078
12/7/2020,544.27002,10400.91504,374.695587,641.76001,3158
12/8/2020,534,10442.1709,387.183105,649.880005,3177.290039
12/9/2020,517.22998,10323.75586,365.570007,604.47998,3104.199951
12/10/2020,518.890015,10680.83789,377.26886,627.070007,3101.48999
12/11/2020,520.530029,10796.95117,364.839203,609.98999,3116.419922
12/14/2020,532.349976,10974.90527,365.812286,639.830017,3156.969971
12/15/2020,534.419983,10948.99023,389.019226,633.25,3165.120117
12/16/2020,529.700012,10944.58594,384.364532,622.77002,3240.959961
12/17/2020,533.650024,11094.34668,385.544373,655.900024,3236.080078
12/18/2020,530.880005,10938.27148,371.052826,695,3201.649902
12/21/2020,533.289978,10462.25977,341.786072,649.859985,3206.179932
12/22/2020,531.130005,10538.45996,344.503174,640.340027,3206.52002
12/23/2020,520.369995,10225.86426,320.585541,645.97998,3185.27002
12/24/2020,519.75,10745.54883,349.356659,661.77002,3172.689941
12/28/2020,516,10702.29004,352.161865,663.690002,3283.959961
12/29/2020,517.72998,10754.4375,354.965271,665.98999,3322
12/30/2020,525.830017,10774.42676,357.321686,694.780029,3285.850098
12/31/2020,522.200012,10721.32715,354.9505,705.669983,3256.929932
1/4/2021,524.539978,10848.83008,359.963409,729.77002,3186.629883
1/5/2021,536.190002,10787.61816,360.022369,735.109985,3218.51001
1/6/2021,504.579987,10623.33008,353.231293,755.97998,3138.379883
1/7/2021,533.76001,10585.16406,346.532654,816.039978,3162.159912
1/8/2021,531.070007,10565.49316,347.321594,880.02002,3182.699951
1/11/2021,544.859985,10684.42871,353.121918,811.190002,3114.209961
1/12/2021,539.390015,10804.00098,354.2771,849.440002,3120.830078
1/13/2021,541.27002,10621.66406,341.021149,854.409973,3165.889893
1/14/2021,528.01001,10679.13672,342.119781,845,3127.469971
1/15/2021,514.380005,10923.62793,351.455658,826.159973,3104.25
1/19/2021,521.01001,null,null,844.549988,3120.76001
1/20/2021,534.630005,11296.36133,370.96759,850.450012,3263.379883
1/21/2021,554.700012,11384.18164,375.142059,844.98999,3306.98999
1/22/2021,548.5,null,null,846.640015,3292.22998
1/25/2021,546.130005,null,null,880.799988,3294
1/26/2021,537.409973,11429.50684,379.484039,883.090027,3326.129883
1/27/2021,516.710022,11495.34961,377.441833,864.159973,3232.580078
1/28/2021,522.039978,11322.12305,366.229004,835.429993,3237.620117
1/29/2021,519.590027,11358.10156,368.855927,793.530029,3206.199951
2/1/2021,529.47998,11483.35938,378.213684,839.809998,3342.879883
2/2/2021,542.27002,11742.03711,379.935608,872.789978,3380
2/3/2021,541.219971,11916.33496,369.136902,854.690002,3312.530029
2/4/2021,546.570007,12823.68945,392.189972,849.98999,3331
2/5/2021,543.640015,12965.8916,413.77298,852.22998,3352.149902
2/8/2021,577.549988,12931.53906,409.766693,863.419983,3322.939941
2/9/2021,570.530029,13108.0625,412.457611,849.460022,3305
2/10/2021,590.570007,13031.17383,406.217773,804.820007,3286.580078
2/11/2021,610.030029,13075.24805,393.888306,811.659973,3262.129883
2/12/2021,598.450012,13654.21875,403.99704,816.119995,3277.709961
2/16/2021,613.210022,13271.28516,388.650757,796.219971,3268.949951
2/17/2021,596.23999,13437.88281,386.730103,798.150024,3308.639893
2/18/2021,593.159973,13546.52246,382.819977,787.380005,3328.22998
2/19/2021,597.059998,13780.99512,386.590332,781.299988,3249.899902
2/22/2021,574.22998,13737.10938,396.358185,714.5,3180.73999
2/23/2021,565.679993,13550.48926,383.156738,698.840027,3194.5
2/24/2021,579.960022,13950.30078,387.602173,742.02002,3159.530029
2/25/2021,532.299988,14133.70703,402.141998,682.219971,3057.159912
2/26/2021,548.580017,15579.84863,414.067352,675.5,3092.929932
,,15565.88086,454.719299,,
,,14833.75391,435.713135,,
,,15479.56738,453.554779,,
,,15332.31543,444.163055,,
,,15290.90234,449.679626,,
,,15701.33984,462.960541,,
,,16276.34375,461.00528,,
,,16317.80859,474.626434,,
,,16068.13867,460.149841,,
,,15955.58789,447.559082,,
,,16716.11133,459.940308,,
,,17645.40625,480.360077,,
,,17804.00586,479.48407,,
,,17817.08984,471.630432,,
,,18621.31445,509.744568,,
,,18642.23242,549.486633,,
,,18370.00195,558.068115,,
,,18364.12109,608.454041,,
,,19107.46484,603.897766,,
,,18732.12109,570.686646,,
,,17150.62305,518.801147,,
,,17108.40234,517.493713,,
,,17717.41406,538.229797,,
,,18177.48438,575.758057,,
,,19625.83594,614.842529,,
,,18802.99805,587.324158,,
,,19201.0918,598.352356,,
,,19445.39844,616.70874,,
,,18699.76563,569.354187,,
,,19154.23047,596.595459,,
,,19345.12109,601.908997,,
,,19191.63086,591.843384,,
,,18321.14453,554.827759,,
,,18553.91602,573.479126,,
,,18264.99219,559.678528,,
,,18058.9043,545.797363,,
,,18803.65625,568.567322,,
,,19142.38281,589.663208,,
,,19246.64453,586.011169,,
,,19417.07617,589.355591,,
,,21310.59766,636.181824,,
,,22805.16211,642.868958,,
,,23137.96094,654.811951,,
,,23869.83203,659.297913,,
,,23477.29492,638.290833,,
,,22803.08203,609.817871,,
,,23783.0293,634.854187,,
,,23241.3457,583.7146,,
,,23735.94922,611.607178,,
,,24664.79102,626.410706,,
,,26437.03711,635.835815,,
,,26272.29492,682.642334,,
,,27084.80859,730.397339,,
,,27362.4375,731.520142,,
,,28840.95313,751.618958,,
,,29001.7207,737.803406,,
,,29374.15234,730.367554,,
,,32127.26758,774.534973,,
,,32782.02344,975.50769,,
,,31971.91406,1040.233032,,
,,33992.42969,1100.006104,,
,,36824.36328,1207.112183,,
,,39371.04297,1225.678101,,
,,40797.60938,1224.197144,,
,,40254.54688,1281.077271,,
,,38356.44141,1262.246704,,
,,35566.65625,1090.145386,,
,,33922.96094,1043.43457,,
,,37316.35938,1130.73938,,
,,39187.32813,1218.453003,,
,,36825.36719,1171.834595,,
,,36178.14063,1233.537598,,
,,35791.27734,1230.172241,,
,,36630.07422,1257.279541,,
,,36069.80469,1377.295898,,
,,35547.75,1382.274048,,
,,30825.69922,1121.570923,,
,,33005.76172,1236.512207,,
,,32067.64258,1230.990601,,
,,32289.37891,1391.609375,,
,,32366.39258,1324.414795,,
,,32569.84961,1357.058105,,
,,30432.54688,1253.187134,,
,,31649.60547,1298.101807,,
,,34316.38672,1382.522827,,
,,34269.52344,1376.115479,,
,,33114.35938,1314.986206,,
,,33537.17578,1369.040527,,
,,35510.28906,1515.193726,,
,,37472.08984,1660.909546,,
,,36926.06641,1594.762695,,
,,38144.30859,1718.650879,,
,,39266.01172,1677.846802,,
,,38903.44141,1614.227783,,
,,46196.46484,1746.616821,,
,,46481.10547,1768.035034,,
,,44918.18359,1744.243408,,
,,47909.33203,1783.797974,,
,,47504.85156,1843.532593,,
,,47105.51563,1814.109863,,
,,48717.28906,1805.084106,,
,,47945.05859,1779.791016,,
,,49199.87109,1781.067505,,
,,52149.00781,1848.458252,,
,,51679.79688,1937.449219,,
,,55888.13281,1960.164795,,
,,56099.51953,1919.534058,,
,,57539.94531,1935.601074,,
,,54207.32031,1781.99292,,
,,48824.42578,1570.203979,,
,,49705.33203,1626.575684,,
,,47093.85156,1475.703735,,
,,46339.76172,1446.033691,,
,,46188.45313,1459.973145,,
,,45137.76953,1416.04895,,
,,46596.76563,1444.13855,,
